motif,C_eff,C_eff_err
4-2,0.114232,0.011169
4-2,0.117986,0.012442
4-2,0.112382,0.007694
4-2,0.084323,0.008616
4-2,0.056527,0.005427
4-2,0.058799,0.005642
4-2,0.062072,0.004989
4-2,0.069749,0.006209
4-2,0.057807,0.008626
5-1,0.018175,0.001581
5-1,0.017237,0.001311
5-1,0.016889,0.001508
5-1,0.017317,0.001583
5-1,0.017165,0.001414
5-1,0.024665,0.002762
5-1,0.020162,0.001942
5-1,0.018627,0.002342
5-1,0.012557,0.001055
5-1,0.012690,0.000857
6-0,0.009461,0.000855
6-0,0.007264,0.000604
6-0,0.009069,0.001798
6-0,0.007259,0.000728
6-0,0.009712,0.001538
6-0,0.008979,0.000675
6-0,0.007709,0.000625
6-0,0.007335,0.000737
6-0,0.009042,0.001357
6-0,0.010617,0.001439
0-7,0.008894,0.001359
0-7,0.007240,0.001074
0-7,0.007560,0.000752
0-7,0.008828,0.000688
0-7,0.007816,0.001061
0-7,0.006908,0.000835
0-7,0.008066,0.000759
0-7,0.008384,0.000914
0-7,0.010588,0.000717
0-7,0.008153,0.000660
0-7,0.007604,0.000712
1-6,0.011689,0.001086
1-6,0.011563,0.001266
1-6,0.012382,0.001113
1-6,0.011552,0.000899
1-6,0.013261,0.001140
1-6,0.010712,0.000900
1-6,0.009769,0.000741
1-6,0.011983,0.000974
1-6,0.010470,0.000828
1-6,0.011054,0.000798
1-6,0.010592,0.000871
2-5,0.035335,0.004540
2-5,0.027671,0.002831
2-5,0.029184,0.003216
2-5,0.033354,0.002747
2-5,0.028745,0.002690
2-5,0.023226,0.002702
2-5,0.024581,0.001947
2-5,0.028889,0.002326
2-5,0.031167,0.002539
2-5,0.034188,0.002735
2-5,0.034633,0.002853
3-4,0.060556,0.005545
3-4,0.083494,0.010386
3-4,0.093681,0.012217
3-4,0.075320,0.006832
3-4,0.074082,0.005630
3-4,0.105479,0.011867
3-4,0.089147,0.015687
3-4,0.116759,0.018904
3-4,0.123591,0.021267
3-4,0.117948,0.016102
3-4,0.083019,0.005939
4-3,0.090798,0.013838
4-3,0.131286,0.023626
4-3,0.137288,0.022657
4-3,0.115599,0.016870
4-3,0.097067,0.007786
4-3,0.061034,0.006459
4-3,0.082822,0.010224
4-3,0.076704,0.011282
4-3,0.074449,0.008370
4-3,0.079860,0.005947
4-3,0.110090,0.012115
5-2,0.028980,0.002149
5-2,0.035843,0.002942
5-2,0.039929,0.004160
5-2,0.035620,0.002964
5-2,0.031870,0.003991
5-2,0.023090,0.002066
5-2,0.029510,0.003114
5-2,0.030509,0.002651
5-2,0.030139,0.002638
5-2,0.022554,0.002265
5-2,0.022885,0.001738
6-1,0.011517,0.001142
6-1,0.011661,0.000972
6-1,0.010490,0.000736
6-1,0.012837,0.001972
6-1,0.010511,0.000764
6-1,0.013579,0.001568
6-1,0.013006,0.000949
6-1,0.010640,0.000791
6-1,0.009955,0.000784
6-1,0.009741,0.000658
6-1,0.011239,0.000860
7-0,0.009412,0.000636
7-0,0.009434,0.000892
7-0,0.006573,0.000618
7-0,0.008232,0.001458
7-0,0.007498,0.000817
7-0,0.010119,0.001006
7-0,0.007661,0.000667
7-0,0.010493,0.001328
7-0,0.008037,0.000850
7-0,0.007877,0.000649
7-0,0.008634,0.000561
0-8,0.007968,0.000750
0-8,0.006365,0.000606
0-8,0.007938,0.000766
0-8,0.007383,0.000909
0-8,0.006919,0.000438
0-8,0.006627,0.000481
0-8,0.007528,0.000853
0-8,0.008316,0.001060
0-8,0.007338,0.000779
0-8,0.008525,0.000554
0-8,0.008966,0.000635
0-8,0.007553,0.000495
1-7,0.009857,0.000820
1-7,0.009444,0.000828
1-7,0.008368,0.000570
1-7,0.011235,0.000678
1-7,0.010493,0.000955
1-7,0.010050,0.000830
1-7,0.009102,0.000725
1-7,0.008551,0.000615
1-7,0.010275,0.000731
1-7,0.010244,0.000844
1-7,0.009785,0.000652
1-7,0.009764,0.000761
2-6,0.015520,0.001260
2-6,0.016589,0.001157
2-6,0.017790,0.001362
2-6,0.016997,0.001274
2-6,0.015471,0.001175
2-6,0.017049,0.001618
2-6,0.013824,0.001104
2-6,0.016690,0.001267
2-6,0.015564,0.001032
2-6,0.015406,0.001001
2-6,0.018189,0.001244
